و	0.0453839651
در	0.0327879664
به	0.0285313461
که	0.0225121254
این	0.0192447197
از	0.0191787721
است	0.0151139995
را	0.0146343803
با	0.0130756180
آن	0.0068765400
برای	0.0061930827
یک	0.0049340823
ما	0.0043105774
خود	0.0042626155
کرد	0.0042086583
وی	0.0041367154
شده	0.0040048202
بر	0.0034532581
باید	0.0033513390
می‌شود	0.0030935437
طرح	0.0030096104
نیز	0.0029736389
گفت	0.0029496580
بود	0.0029376675
شد	0.0028657246
ایران	0.0028537341
تا	0.0028477389
هم	0.0027278341
آن‌ها	0.0027158436
هر	0.0022182387
سال	0.0022242340
کشور	0.0022002530
دارد	0.0021522911
اما	0.0021702768
کار	0.0021642816
اگر	0.0021582863
مردم	0.0021163196
وجود	0.0021163196
شود	0.0020024101
تهران	0.0019844244
باشد	0.0019664386
یا	0.0018944958
قرار	0.0018585243
ادامه	0.0018405386
اسلامی	0.0016906576
انجام	0.0016846624
دولت	0.0016546862
دیگر	0.0016606814
مورد	0.0016606814
افزود	0.0016307052
ادیان	0.0016247100
کند	0.0015407766
چه	0.0015287861
دو	0.0015287861
تیم	0.0015227909
عنوان	0.0015108004
صورت	0.0015048052
دکتر	0.0014388575
توجه	0.0014208718
داشته	0.0014148766
داشت	0.0014148766
می‌کند	0.0014028861
کنند	0.0013849004
نیست	0.0013849004
اجتماعی	0.0013729099
نظر	0.0013669147
جامعه	0.0013609194
من	0.0013309432
کرده	0.0013189528
خواهد	0.0012949718
سیاسی	0.0012769861
بخش	0.0012649956
توسعه	0.0012530051
ملی	0.0012230289
داد	0.0012290242
ایجاد	0.0012290242
امام	0.0012170337
کنیم	0.0011990480
هستند	0.0011810622
دین	0.0011570813
استفاده	0.0011570813
جامع	0.0011450908
اقتصادی	0.0011390956
بین	0.0011450908
دانشگاه	0.0011390956
اشاره	0.0011211098
حال	0.0011091194
پس	0.0010971289
ایسنا	0.0010731479
شما	0.0010671527
بوده	0.0010671527
همه	0.0010431717
منطقه	0.0010311812
پیش	0.0010251860
ندارد	0.0009832193
فوتبال	0.0009832193
بانک	0.0009712288
تاکید	0.0009832193
حزب	0.0009772241
گزارش	0.0009532431
دانشجویان	0.0009472479
ارائه	0.0009412526
افزایش	0.0009352574
بسیار	0.0009352574
مسائل	0.0009292622
اسلام	0.0009112764
درصد	0.0009112764
می‌کنند	0.0008992860
هیچ	0.0008932907
جهانی	0.0008932907
او	0.0008932907
شرایط	0.0008872955
نسبت	0.0008753050
تنها	0.0008573193
سازمان	0.0008513240
یکی	0.0008513240
نفت	0.0008393336
تومان	0.0008393336
بعد	0.0008333383
دست	0.0008333383
گذشته	0.0008333383
علمی	0.0008273431
گرفته	0.0008213478
بیان	0.0008213478
تصریح	0.0008153526
میان	0.0008153526
بیشتر	0.0008153526
گفت‌وگو	0.0008093574
می‌تواند	0.0008093574
نه	0.0008033621
ـ	0.0008033621
دلیل	0.0007973669
حضور	0.0007913717
شورای	0.0007913717
دینی	0.0007913717
هزار	0.0007853764
بررسی	0.0007613955
حتی	0.0007613955
مختلف	0.0007554002
همین	0.0007554002
امروز	0.0007554002
چرا	0.0007314193
اظهار	0.0007374145
بازی	0.0007314193
قانون	0.0007254240
قابل	0.0007254240
کردن	0.0007254240
مدیریت	0.0007194288
زمانی	0.0007134335
مساله	0.0007134335
داده	0.0007194288
مطرح	0.0007194288
کردند	0.0007134335
میلیون	0.0007074383
همچنین	0.0007074383
انقلاب	0.0006954478
بحث	0.0006954478
قیمت	0.0006894526
مشکلات	0.0006894526
فرهنگی	0.0006714669
نظام	0.0006774621
جهان	0.0006714669
هیات	0.0006714669
باشند	0.0006654716
چنین	0.0006654716
منابع	0.0006594764
بودند	0.0006534811
برابر	0.0006534811
دارند	0.0006414907
می	0.0006474859
شهر	0.0006474859
تمام	0.0006414907
مرکزی	0.0006354954
بلکه	0.0006354954
لازم	0.0006354954
‌	0.0006235049
میزان	0.0006295002
باشگاه	0.0006235049
زمان	0.0006235049
حالی	0.0006235049
پاسخ	0.0006175097
تراکم	0.0006175097
اینکه	0.0006175097
روی	0.0006175097
تولید	0.0006055192
موضوع	0.0006055192
مناطق	0.0006055192
بدون	0.0006055192
برنامه‌ریزی	0.0006055192
گفت‌وگوی	0.0005995240
شرکت	0.0005995240
جدید	0.0005995240
حق	0.0005875335
دیگری	0.0005875335
ولی	0.0005875335
اقتصاد	0.0005815383
زمینه	0.0005815383
تعیین	0.0005815383
برخی	0.0005815383
سوی	0.0005815383
راه	0.0005815383
مطالعات	0.0005755430
میلیارد	0.0005755430
شدن	0.0005755430
خبرگزاری	0.0005755430
یعنی	0.0005695478
سه	0.0005695478
عضو	0.0005695478
مدت	0.0005695478
رییس	0.0005695478
این‌که	0.0005635525
روز	0.0005575573
البته	0.0005575573
نشان	0.0005575573
نقش	0.0005575573
کاهش	0.0005275811
رشد	0.0005455668
اساس	0.0005515621
طور	0.0005515621
پیدا	0.0005515621
می‌دهد	0.0005455668
تهیه	0.0005455668
اول	0.0005455668
نتیجه	0.0005455668
حاضر	0.0005395716
عمومی	0.0005395716
مجلس	0.0005395716
گفته	0.0005395716
شکل	0.0005335763
جهت	0.0005335763
غیر	0.0005335763
کشورهای	0.0005335763
باشیم	0.0005335763
جام	0.0005275811
ایرانی	0.0005275811
افراد	0.0005275811
امر	0.0005275811
زیر	0.0005155906
پرداخت	0.0005215859
